"R_anti_pad [um]","Freq [GHz]","dB(St(Trace_out_L1_T1,Trace_out_L1_T1)) []","dB(St(Trace_out_L1_T2,Trace_out_L1_T1)) []"
300,2.24,-35.5590718647658,-0.179682397817863
300,2.25,-35.5251115774231,-0.180549681173513
300,2.26,-35.4913306581716,-0.181417076962688
300,2.27,-35.4577276195119,-0.182284597345522
300,2.28,-35.4243009869998,-0.183152254462249
300,2.29,-35.3910492991339,-0.184020060431148
300,2.3,-35.3579711072416,-0.184888027346533
300,2.31,-35.3250649753605,-0.185756167276875
300,2.32,-35.2923294801201,-0.186624492262918
300,2.33,-35.2597632106174,-0.187493014315958
300,2.34,-35.2273647682943,-0.188361745416124
300,2.35,-35.1951327668113,-0.189230697510769
300,2.36,-35.163065831919,-0.190099882512889
300,2.37,-35.1311626013301,-0.190969312299657
300,2.38,-35.0994217245883,-0.191838998710976
300,2.39,-35.0678418629367,-0.192708953548095
300,2.4,-35.0364216891863,-0.193579188572338
300,2.41,-35.0051598875812,-0.194449715503811
300,2.42,-34.9740551536663,-0.195320546020216
300,2.43,-34.9431061941522,-0.19619169175573
300,2.44,-34.9123117267796,-0.19706316429987
300,2.45,-34.8816704801855,-0.19793497519651
300,2.46,-34.851181193767,-0.198807135942823
300,2.47,-34.8208426175464,-0.199679657988385
300,2.48,-34.7906535120362,-0.200552552734286
300,2.49,-34.7606126481029,-0.201425831532242
300,2.5,-34.7307188068326,-0.202299505683813
300,2.51,-34.7009707793969,-0.203173586439639
300,2.52,-34.6713673669179,-0.204048084998688
300,2.53,-34.6419073803349,-0.204923012507641
300,2.54,-34.6125896402705,-0.205798380060162
300,2.55,-34.5834129768991,-0.206674198696365
300,2.56,-34.5543762298138,-0.207550479402201
300,2.57,-34.5254782478956,-0.208427233108947
300,2.58,-34.496717889183,-0.209304470692685
300,2.59,-34.4680940207418,-0.210182202973863
300,2.6,-34.4396055185372,-0.211060440716862
300,2.61,-34.4112512673051,-0.211939194629542
300,2.62,-34.3830301604253,-0.21281847536295
300,2.63,-34.354941099796,-0.213698293510925
300,2.64,-34.326982995708,-0.214578659609801
300,2.65,-34.299154766722,-0.215459584138116
300,2.66,-34.2714553395446,-0.216341077516364
300,2.67,-34.2438836489069,-0.21722315010676
