"Freq [GHz]","dB(St(sma_cpw_Unnamed_4_T1,sma_cpw_Unnamed_4_T1)) []","dB(St(micro_line_T1,sma_cpw_Unnamed_4_T1)) []"
2.93,-6.14176801129183,-1.25696026502109
2.94,-6.14390184769238,-1.2565098599908
2.95,-6.14783804747576,-1.25547997502743
2.96,-6.15358599003147,-1.25386961510686
2.97,-6.161156856518,-1.25167817733712
2.98,-6.17056365956481,-1.24890545579738
2.99,-6.18182127666364,-1.2455516467584
3,-6.19494648737801,-1.24161735429104
3.01,-6.2099580145153,-1.23710359626756
3.02,-6.2268765694222,-1.23201181075975
3.03,-6.24572490158209,-1.22634386283643
3.04,-6.26652785271184,-1.2201020517619
3.05,-6.28931241557539,-1.21328911859509
3.06,-6.31410779775356,-1.20590825418808
3.07,-6.34094549063296,-1.19796310758082
3.08,-6.36985934390221,-1.18945779478714
3.09,-6.40088564587122,-1.18039690796553
3.1,-6.43406320995974,-1.17078552496569
3.11,-6.46943346773338,-1.16062921924012
3.12,-6.50704056890189,-1.14993407010755
3.13,-6.54693148873288,-1.13870667335231
3.14,-6.5891561433774,-1.12695415214127
3.15,-6.63376751365072,-1.1146841682369
3.16,-6.68082177786305,-1.10190493348206
3.17,-6.73037845435221,-1.08862522152851
3.18,-6.78250055443201,-1.07485437977787
3.19,-6.83725474653954,-1.06060234149964
3.2,-6.89471153244017,-1.04587963808715
3.21,-6.95494543643249,-1.03069741140768
3.22,-7.01803520858808,-1.01506742619861
3.23,-7.08406404316236,-0.999002082456685
3.24,-7.15311981342505,-0.982514427762214
3.25,-7.22529532428277,-0.965618169474871
3.26,-7.30068858420195,-0.948327686732105
3.27,-7.37940309809081,-0.930658042175352
3.28,-7.46154818296311,-0.912624993323342
3.29,-7.54723930838742,-0.894245003505382
3.3,-7.63659846392267,-0.875535252261236
3.31,-7.72975455595519,-0.856513645107745
3.32,-7.82684383658536,-0.837198822565502
3.33,-7.92801036746246,-0.817610168332327
3.34,-8.03340652173284,-0.797767816483587
3.35,-8.14319352754881,-0.777692657572723
3.36,-8.25754205687758,-0.757406343498764
3.37,-8.37663286364693,-0.736931291001354
3.38,-8.50065747555507,-0.716290683637711
3.39,-8.62981894414361,-0.695508472090255
3.4,-8.76433265796187,-0.674609372648439
3.41,-8.90442722380719,-0.653618863703745
