"Freq [GHz]","dB(St(Microstrip_1B_T1,Microstrip_1B_T1)) []","dB(St(Microstrip_1B_T2,Microstrip_1B_T1)) []"
1.56,-39.9555672399627,-0.100303084787971
1.57,-39.8962772272954,-0.100921371343886
1.58,-39.8374187804349,-0.101539853349986
1.59,-39.7789868547631,-0.102158521457052
1.6,-39.7209764868871,-0.102777366495426
1.61,-39.6633827927244,-0.103396379475608
1.62,-39.6062009656602,-0.104015551588604
1.63,-39.5494262747762,-0.104634874206116
1.64,-39.4930540631429,-0.10525433888053
1.65,-39.4370797461767,-0.105873937344682
1.66,-39.3814988100562,-0.106493661511553
1.67,-39.3263068101917,-0.1071135034737
1.68,-39.2714993697525,-0.1077334555026
1.69,-39.2170721782398,-0.108353510047871
1.7,-39.1630209901143,-0.108973659736298
1.71,-39.1093416234599,-0.10959389737079
1.72,-39.0560299587004,-0.110214215929235
1.73,-39.0030819373507,-0.110834608563181
1.74,-38.9504935608107,-0.111455068596497
1.75,-38.8982608891965,-0.112075589523897
1.76,-38.8463800402039,-0.11269616500939
1.77,-38.7948471880099,-0.11331678888466
1.78,-38.7436585622042,-0.113937455147344
1.79,-38.6928104467536,-0.114558157959299
1.8,-38.6422991789917,-0.115178891644751
1.81,-38.5921211486434,-0.115799650688423
1.82,-38.5422727968689,-0.116420429733593
1.83,-38.4927506153411,-0.117041223580122
1.84,-38.44355114534,-0.117662027182438
1.85,-38.3946709768783,-0.11828283564743
1.86,-38.3461067478438,-0.118903644232439
1.87,-38.2978551431659,-0.119524448343051
1.88,-38.2499128940035,-0.120145243530999
1.89,-38.2022767769529,-0.120766025491975
1.9,-38.1549436132728,-0.121386790063433
1.91,-38.1079102681313,-0.122007533222384
1.92,-38.0611736498674,-0.122628251083187
1.93,-38.0147307092717,-0.12324893989529
1.94,-37.9685784388832,-0.123869596041022
1.95,-37.9227138723025,-0.124490216033306
1.96,-37.8771340835178,-0.125110796513464
1.97,-37.8318361862502,-0.125731334248893
1.98,-37.7868173333088,-0.126351826130885
1.99,-37.7420747159624,-0.126972269172337
2,-37.6976055633249,-0.127592660505523
2.01,-37.6534071417498,-0.128212997379856
2.02,-37.6094767542427,-0.128833277159641
2.03,-37.5658117398815,-0.129453497321887
2.04,-37.5224094732506,-0.130073655454064
2.05,-37.4792673638853,-0.130693749251941
2.06,-37.4363828557283,-0.131313776517379
2.07,-37.3937534265961,-0.131933735156153
2.08,-37.3513765876558,-0.132553623175824
2.09,-37.3092498829118,-0.133173438683595
2.1,-37.2673708887036,-0.133793179884181
2.11,-37.2257372132114,-0.13441284507771
2.12,-37.1843464959721,-0.135032432657648
2.13,-37.1431964074029,-0.135651941108748
2.14,-37.1022846483368,-0.136271369004972
2.15,-37.0616089495613,-0.136890715007508
2.16,-37.0211670713715,-0.137509977862758
2.17,-36.9809568031265,-0.138129156400351
2.18,-36.9409759628159,-0.138748249531204
2.19,-36.9012223966344,-0.139367256245597
2.2,-36.8616939785614,-0.139986175611251
2.21,-36.8223886099519,-0.14060500677145
2.22,-36.7833042191297,-0.141223748943181
2.23,-36.744438760992,-0.141842401415314
2.24,-36.7057902166181,-0.142460963546771
2.25,-36.6673565928854,-0.14307943476476
2.26,-36.6291359220928,-0.143697814563008
2.27,-36.5911262615889,-0.144316102500026
2.28,-36.5533256934076,-0.1449342981974
2.29,-36.5157323239094,-0.14555240133811
2.3,-36.4783442834287,-0.146170411664878
2.31,-36.4411597259262,-0.146788328978524
2.32,-36.404176828649,-0.147406153136355
2.33,-36.3673937917939,-0.148023884050608
2.34,-36.3308088381769,-0.148641521686877
2.35,-36.2944202129097,-0.14925906606257
2.36,-36.2582261830784,-0.149876517245441
2.37,-36.222225037431,-0.150493875352059
2.38,-36.186415086066,-0.151111140546393
