"Freq [GHz]","dB(St(Diff1,Diff1)) []","dB(St(Diff2,Diff1)) []"
2.21,-34.1789096899351,-0.183886663469539
2.22,-34.1395413012106,-0.184636669335204
2.23,-34.1003935282041,-0.185386547109981
2.24,-34.0614643094745,-0.186136295811996
2.25,-34.0227516147711,-0.186885914493604
2.26,-33.9842534444264,-0.187635402241184
2.27,-33.9459678287613,-0.188384758174982
2.28,-33.9078928275073,-0.189133981448837
2.29,-33.8700265292355,-0.189883071249973
2.3,-33.8323670508047,-0.190632026798698
2.31,-33.7949125368164,-0.191380847348136
2.32,-33.7576611590847,-0.192129532183917
2.33,-33.7206111161168,-0.192878080623831
2.34,-33.6837606326063,-0.193626492017522
2.35,-33.6471079589352,-0.194374765746084
2.36,-33.6106513706895,-0.195122901221728
2.37,-33.5743891681826,-0.195870897887384
2.38,-33.5383196759914,-0.196618755216293
2.39,-33.5024412425028,-0.19736647271162
2.4,-33.4667522394672,-0.198114049906039
2.41,-33.4312510615653,-0.19886148636127
2.42,-33.3959361259801,-0.199608781667694
2.43,-33.3608058719842,-0.200355935443865
2.44,-33.325858760529,-0.201102947336112
2.45,-33.2910932738484,-0.201849817018028
2.46,-33.2565079150683,-0.202596544190059
2.47,-33.2221012078243,-0.203343128579016
2.48,-33.1878716958912,-0.204089569937603
2.49,-33.153817942814,-0.204835868043973
2.5,-33.119938531553,-0.205582022701214
2.51,-33.0862320641331,-0.206328033736917
2.52,-33.0526971613024,-0.207073901002662
2.53,-33.0193324621955,-0.207819624373562
2.54,-32.9861366240079,-0.208565203747782
2.55,-32.9531083216726,-0.209310639046054
2.56,-32.9202462475479,-0.210055930211194
2.57,-32.8875491111097,-0.210801077207639
2.58,-32.855015638649,-0.211546080020964
2.59,-32.8226445729791,-0.212290938657408
2.6,-32.7904346731469,-0.213035653143393
2.61,-32.758384714149,-0.21378022352506
2.62,-32.7264934866567,-0.214524649867811
2.63,-32.6947597967457,-0.215268932255815
2.64,-32.6631824656288,-0.216013070791581
2.65,-32.6317603293999,-0.21675706559547
2.66,-32.6004922387756,-0.217500916805253
2.67,-32.5693770588502,-0.218244624575662
2.68,-32.5384136688504,-0.218988189077934
2.69,-32.5076009618955,-0.219731610499373
2.7,-32.4769378447655,-0.220474889042896
2.71,-32.4464232376712,-0.221218024926634
2.72,-32.4160560740306,-0.221961018383451
2.73,-32.3858353002477,-0.222703869660573
2.74,-32.3557598754995,-0.223446579019116
2.75,-32.3258287715235,-0.224189146733721
2.76,-32.2960409724116,-0.224931573092106
2.77,-32.2663954744077,-0.225673858394678
2.78,-32.2368912857104,-0.22641600295413
2.79,-32.2075274262775,-0.227158007095046
2.8,-32.1783029276354,-0.227899871153523
2.81,-32.1492168326944,-0.228641595476788
2.82,-32.1202681955643,-0.229383180422788
2.83,-32.0914560813759,-0.230124626359868
2.84,-32.0627795661048,-0.23086593366638
2.85,-32.0342377364004,-0.231607102730326
2.86,-32.0058296894161,-0.232348133949003
2.87,-31.977554532645,-0.233089027728667
2.88,-31.9494113837563,-0.233829784484175
2.89,-31.9213993704391,-0.234570404638663
2.9,-31.8935176302434,-0.235310888623216
2.91,-31.8657653104294,-0.236051236876516
2.92,-31.8381415678172,-0.236791449844587
2.93,-31.8106455686407,-0.237531527980403
2.94,-31.7832764884018,-0.238271471743656
2.95,-31.7560335117312,-0.239011281600404
2.96,-31.7289158322483,-0.239750958022805
2.97,-31.7019226524273,-0.24049050148882
2.98,-31.6750531834617,-0.241229912481914
2.99,-31.6483066451352,-0.24196919149083
3,-31.6216822656933,-0.242708339009253
3.01,-31.5951792817171,-0.243447355535593
3.02,-31.5687969380008,-0.244186241572701
3.03,-31.5425344874299,-0.244924997627639
3.04,-31.5163911908619,-0.245663624211392
3.05,-31.4903663170121,-0.246402121838672
3.06,-31.4644591423367,-0.247140491027654
3.07,-31.4386689509226,-0.247878732299747
3.08,-31.4129950343756,-0.248616846179369
3.09,-31.387436691714,-0.249354833193746
3.1,-31.3619932292613,-0.250092693872658
3.11,-31.3366639605431,-0.250830428748261
3.12,-31.3114482061841,-0.251568038354879
3.13,-31.2863452938082,-0.252305523228787
3.14,-31.26135455794,-0.253042883908033
3.15,-31.2364753399086,-0.253780120932243
3.16,-31.2117069877518,-0.254517234842437
3.17,-31.1870488561235,-0.255254226180845
3.18,-31.1625003062023,-0.255991095490748
3.19,-31.1380607056011,-0.256727843316289
3.2,-31.1137294282794,-0.257464470202309
3.21,-31.0895058544564,-0.258200976694205
