"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
3.63,-0.59253424209518
3.64,-0.607607524159413
3.65,-0.623386558743487
3.66,-0.639916176514514
3.67,-0.657246917932717
3.68,-0.675435748849336
3.69,-0.694546872887186
3.7,-0.714652656850983
3.71,-0.735834688543593
3.72,-0.758184990167473
3.73,-0.781807415111818
3.74,-0.806819261557214
3.75,-0.833353143205989
3.76,-0.861559165861544
3.77,-0.891607468912195
3.78,-0.923691203493767
3.79,-0.958030034808217
3.8,-0.994874275522489
3.81,-1.03450978131879
3.82,-1.07726376973556
3.83,-1.12351176096657
3.84,-1.17368588622596
3.85,-1.22828486809959
3.86,-1.28788605107027
3.87,-1.35315995295553
3.88,-1.42488792403336
3.89,-1.50398364577899
3.9,-1.59151938191808
3.91,-1.6887581180075
3.92,-1.79719299876712
3.93,-1.91859579941375
3.94,-2.05507654641983
3.95,-2.20915681788483
3.96,-2.38385965651943
3.97,-2.58281930811224
3.98,-2.81041391613023
3.99,-3.07192335956823
4,-3.3737115813165
4.01,-3.72342585382409
4.02,-4.13018985558927
4.03,-4.60473311512902
4.04,-5.15932378727196
4.05,-5.80720364239364
4.06,-6.560848043056
4.07,-7.42754634226239
4.08,-8.39913146083327
4.09,-9.43031168907384
4.1,-10.4018474802314
4.11,-11.0918105468133
4.12,-11.2450532706691
4.13,-10.780801047691
4.14,-9.88057554091344
4.15,-8.80735438114645
4.16,-7.7422368413642
4.17,-6.76968907754546
4.18,-5.91630013733729
4.19,-5.18176446747249
4.2,-4.55521649251286
4.21,-4.02270490692496
4.22,-3.57036694511943
4.23,-3.18565226232099
4.24,-2.85768402815432
4.25,-2.57724929962751
4.26,-2.33664202537045
4.27,-2.12946030599757
4.28,-1.95040326877263
4.29,-1.79508639712658
4.3,-1.65988158018683
4.31,-1.5417823007235
4.32,-1.43829184361572
4.33,-1.34733150291161
4.34,-1.26716564772515
4.35,-1.19634074340038
4.36,-1.13363579470621
4.37,-1.07802207343549
4.38,-1.02863036316544
4.39,-0.984724278972645
4.4,-0.945678494820751
4.41,-0.910960938687902
4.42,-0.880118200830695
4.43,-0.852763550287486
4.44,-0.828567074974989
4.45,-0.807247557028246
4.46,-0.788565772041546
4.47,-0.77231896248051
4.48,-0.758336284891082
4.49,-0.746475070194347
4.5,-0.736617768350088
4.51,-0.728669474631947
4.52,-0.722555955981327
4.53,-0.718222113430434
4.54,-0.715630831248442
4.55,-0.71476217594506
4.56,-0.715612919128219
4.57,-0.718196367918541
4.58,-0.722542495597246
4.59,-0.728698373758942
4.6,-0.736728915807493
4.61,-0.746717950515638
4.62,-0.758769653909496
4.63,-0.773010378331756
4.64,-0.789590929602352
4.65,-0.808689357247705
4.66,-0.830514339399847
4.67,-0.85530926391175
4.68,-0.883357131392336
4.69,-0.914986435349366
4.7,-0.950578210840777
4.71,-0.990574487730786
4.72,-1.03548844004975
4.73,-1.0859165918826
4.74,-1.14255352626212
4.75,-1.20620965132555
4.76,-1.27783271348003
4.77,-1.35853391830121
4.78,-1.44961973670331
4.79,-1.55263075056205
4.8,-1.6693892479015
4.81,-1.80205774097117
4.82,-1.95321119294399
4.83,-2.1259265660703
4.84,-2.32389445285719
4.85,-2.55155920384274
4.86,-2.81429644016488
4.87,-3.11864071436415
4.88,-3.47258243082013
4.89,-3.88596399293776
4.9,-4.37102446700373
4.91,-4.94317778247388
4.92,-5.62217819723463
4.93,-6.43396494205008
4.94,-7.41377191997154
4.95,-8.61176165534955
4.96,-10.1041459257249
4.97,-12.0176880750633
4.98,-14.5927703125403
4.99,-18.3914779990682
5,-25.4242752409385
5.01,-37.6617921284026
5.02,-22.1002747739421
5.03,-16.9548551953821
5.04,-13.8603019308559
5.05,-11.6907403733731
5.06,-10.0553000673935
5.07,-8.76976113916525
5.08,-7.73147297383484
5.09,-6.87674978190584
5.1,-6.16303534984618
5.11,-5.56033405825656
5.12,-5.04665600138344
5.13,-4.60539733095991
5.14,-4.22373452667413
5.15,-3.89158722958886
5.16,-3.60091870564607
5.17,-3.34524691842484
5.18,-3.11929267235231
5.19,-2.91872027396366
5.2,-2.73994260443091
5.21,-2.57997222157277
5.22,-2.4363060822954
5.23,-2.30683527385926
5.24,-2.18977363373623
5.25,-2.08360081887312
5.26,-1.98701654789821
5.27,-1.89890356151842
5.28,-1.8182974378652
5.29,-1.74436183202826
5.3,-1.67636802930171
5.31,-1.61367794128933
5.32,-1.55572985460073
5.33,-1.5020263785106
5.34,-1.45212414127563
5.35,-1.40562486238694
5.36,-1.36216748525665
5.37,-1.32142109555177
5.38,-1.28307837736186
5.39,-1.24684937473701
5.4,-1.21245533180897
5.41,-1.17962238319782
5.42,-1.14807486196521
5.43,-1.11752799322683
5.44,-1.08767976391653
